Label,X,Y,Z
NzHS,-6.19862354031,6.32213839106,3.83283004035
IzHS,-8.15837975012,-8.25186027074,15.5176386478
ARHS,-9.08088845363,-5.08383794563,2.54634363001
ALHS,-8.25199723075,4.46684231822,15.6020270269
Fp1HS,,,
Fp2HS,,,
FzHS,,,
F3HS,,,
F4HS,,,
F7HS,,,
F8HS,,,
CzHS,7.58288748633,0.950916608083,8.55627321781
C3HS,,,
C4HS,,,
T3HS,,,
T4HS,,,
PzHS,,,
P3HS,,,
P4HS,,,
T5HS,,,
T6HS,,,
O1HS,,,
O2HS,,,
