T01,5.82220846886,4.78165718751,7.92710311569
T02,4.76255311734,4.16598906846,13.2693949802
T03,3.60455675897,6.71269763217,10.2008992938
T04,1.42609431433,7.92480397501,7.01916810003
T05,-0.0858847189729,7.0369304627,12.5836869532
T06,-2.17116002576,8.25161665455,9.59458548329
T07,5.71903237487,4.9879058537,9.34027078861
T08,3.23889231821,6.5302762646,11.6067209468
T09,1.19012903246,8.06362170733,8.47727660845
T10,-2.60372389431,7.94374741297,10.9136275859
T11,6.54127653939,0.820672310115,12.6918727138
T12,3.39816668341,-4.34151845223,14.4292096941
T13,4.1756466696,-0.688544161334,16.1772667277
T14,3.21055701421,3.52005724219,16.1165512998
T15,-0.40623875992,-1.86691497968,18.0631297544
T16,-0.920587908897,2.03062783649,18.0115267618
T17,6.35672549152,-0.636437978122,13.2844347645
T18,2.96182596285,-1.8722663538,16.4917833713
T19,2.62909569575,2.15677139213,16.9796041916
T20,-1.9880179709,0.761806128742,18.3375645374
R01,5.79266312514,5.17104252981,10.7293169042
R02,4.24425214857,7.12515161072,7.49603011194
R03,2.86843221995,6.37583717972,12.9816020464
R04,1.1220591097,8.08574547103,9.91055860902
R05,-1.66342648046,8.53665542249,6.88320782994
R06,-3.11368874346,7.65815036143,12.524358026
R07,5.56527047849,5.27140902982,12.1602231282
R08,4.13831877428,7.24926002785,9.07312499394
R09,0.663855998482,7.87551498369,11.4402121453
R10,-1.78420563555,8.8361887279,8.41647046485
R11,5.47343604092,-1.79099008894,14.0772793198
R12,5.17868476806,2.29523951621,15.0776802397
R13,1.77571736095,-2.99189106316,16.9747425165
R14,1.93048750006,1.06583504233,17.9640723708
R15,0.751665827404,4.81021299555,16.6684983117
R16,-3.2032700239,-0.567558309992,18.6946130962
R17,4.8471114831,-2.99605503707,14.3984363285
R18,4.94658371876,1.0086837035,15.8610245871
R19,0.969582237548,-0.190629538425,18.4190428761
R20,0.321343700977,3.56107265089,17.5828953297
CH01,6.13635671323,5.4423320148,9.34535890333
CH02,5.50882487868,5.0661019522,12.2098943966
CH03,6.25311504414,7.1044299949,8.09514816582
CH04,5.77700050446,7.21338122673,11.2895175038
CH05,4.96640688582,6.38467617298,14.2055094119
CH06,4.33683846516,7.58439083959,9.0536721057
CH07,3.47211789547,7.02973586949,11.8300258538
CH08,3.42154254932,8.61449365897,7.70402331217
CH09,3.19448345726,8.60147535394,10.788848872
CH10,2.18162551484,7.73936000307,13.8809771319
CH11,1.45970489367,8.44039130413,8.72786878425
CH12,0.714875263892,7.97136059204,11.6825195425
CH13,0.268991037019,9.1155047246,7.38336355832
CH14,-0.0244280367929,9.03147615781,10.6279060548
CH15,-0.814529956945,8.12802339347,13.35353132
CH16,-1.6757813166,8.84836885198,8.38695209853
CH17,-2.5658498606,8.181405617,11.1706309752
CH18,6.05791656464,5.47151404088,10.8752911082
CH19,5.60653682137,6.90887738029,9.67225750761
CH20,4.76580569458,6.32510240381,12.6235301657
CH21,4.11019029126,7.2207573996,10.6268207604
CH22,2.96189893452,8.14599023842,9.14192754474
CH23,2.22367920617,7.56668070193,12.2312491582
CH24,1.08420700712,8.27658228111,10.2625270545
CH25,0.0822779794589,8.72094540124,8.825576835
CH26,-0.649859030524,8.35569982768,12.0292196252
CH27,-2.08734892124,8.67129017989,9.83550672405
CH28,6.31588548063,-0.293519442212,13.5321219543
CH29,4.6576739746,-3.02681871276,14.4640944089
CH30,6.75726563204,0.996890269682,14.7563391231
CH31,5.1199000496,-1.88847594434,15.8768801788
CH32,2.6418550085,-4.8989052717,16.5903881504
CH33,4.8536229645,0.959766716057,15.8186235687
CH34,2.92671832757,-1.79026902425,16.789023843
CH35,4.79968593123,2.79195406923,16.9176010665
CH36,3.23869387638,-0.146179150607,17.9799656602
CH37,0.888041152615,-3.20933524742,18.8238724913
CH38,2.73895373697,2.26568189634,17.1804708594
CH39,0.869089532386,-0.481988978132,18.1858405215
CH40,2.14196615585,4.19156512093,17.8137177851
CH41,0.371359217947,1.35445695411,19.1623677141
CH42,-2.09327646188,-1.73661458994,19.9047649118
CH43,-0.0179354389439,3.48243002288,17.5698094715
CH44,-2.11274122708,0.79983197645,18.7110573686
CH45,5.53237729929,-1.77523072195,13.9802064295
CH46,5.34561340241,-0.223273994905,14.9338998892
CH47,3.39178345152,-2.97662616905,16.201740521
CH48,3.98350106871,-0.466028349675,16.4655433152
CH49,3.49992165659,1.4322883851,17.1229287983
CH50,1.57002284058,-1.46305764901,18.3249496713
CH51,1.73128738935,1.02290317209,18.0861142163
CH52,0.961325501971,2.87177138714,17.9486984928
CH53,-1.05669438909,-0.0160140367829,19.0614615184
CH54,-1.02254043748,2.278236245,18.4432350508
